1,1,Enter: Naruto Uzumaki!,CANON,2002-10-03,7.0
1,2,My Name is Konohamaru!,CANON,2002-10-10,8.7
1,3,Sasuke and Sakura: Friends or Foes?,CANON,2002-10-17,7.6
1,4,Pass or Fail: Survival Test,CANON,2002-10-24,9.0
1,5,You Failed! Kakashi’s Final Decision,CANON,2002-10-31,9.0
1,6,A Dangerous Mission! Journey to the Land of Waves!,CANON,2002-11-07,7.7
1,7,The Assassin of the Mist!,MIXED,2002-11-14,8.1
1,8,The Oath of Pain,CANON,2002-11-21,7.5
1,9,Kakashi: Sharingan Warrior,MIXED,2002-11-28,7.4
1,10,The Forest of Chakra,CANON,2002-12-05,8.5
1,11,The Land Where a Hero Once Lived,CANON,2002-12-12,9.0
1,12,Battle on the Bridge! Zabuza Returns!!,CANON,2002-12-19,7.7
1,13,Haku’s Secret Jutsu: Crystal Ice Mirrors,CANON,2002-12-21,7.5
1,14,"The Number One Hyperactive Knucklehead Ninja",MIXED,2002-12-22,7.5
1,15,Zero Visibility: The Sharingan Shatters,MIXED,2002-12-23,7.8
1,16,The Broken Seal,MIXED,2002-12-24,7.0
1,17,White Past: Hidden Ambition,CANON,2002-12-25,7.5
1,18,The Weapons Known as Shinobi,MIXED,2003-01-31,8.4
1,19,The Demon in the Snow,MIXED,2003-02-13,8.2
1,20,A New Chapter Begins: The Chunin Exam!,MIXED,2003-02-20,9.0
1,21,Identify Yourself: Powerful New Rivals,MIXED,2003-02-27,8.7
1,22,Chunin Challenge: Rock Lee vs. Sasuke!,CANON,2003-03-06,8.4
1,23,Genin Takedown! All Nine Rookies Face Off!,MIXED,2003-03-13,8.2
1,24,Start Your Engines: The Chunin Exam Begins!,MIXED,2003-03-20,8.9
1,25,The Tenth Question: All or Nothing!,CANON,2003-03-27,8.2
1,26,Special Report: Live from the Forest of Death!,FILLER,2003-04-02,8.3
1,27,The Chunin Exam Stage 2: The Forest of Death,MIXED,2003-04-02,7.2
1,28,Eat or be Eaten: Panic in the Forest,MIXED,2003-04-09,7.6
1,29,Naruto’s Counterattack: Never Give In!,MIXED,2003-04-16,8.4
1,30,The Sharingan Revived: Dragon-Flame Jutsu!,MIXED,2003-04-23,8.1
1,31,Bushy Brow’s Pledge: Undying Love and Protection!,CANON,2003-05-02,8.6
1,32,Sakura Blossoms!,CANON,2003-05-07,8.1
1,33,Battle Formation: Ino-Shika-Cho!,CANON,2003-05-14,8.8
1,34,Akamaru Trembles: Gaara’s Cruel Strength!,CANON,2003-05-21,7.9
1,35,The Scroll’s Secret: No Peeking Allowed,CANON,2003-05-28,8.6
1,36,Clone vs. Clone: Mine are Better than Yours!,CANON,2003-06-04,7.5
1,37,Surviving the Cut! The Rookie Nine Together Again!,MIXED,2003-06-11,7.4
1,38,Narrowing the Field: Sudden Death Elimination!,MIXED,2003-06-18,7.7
1,39,Bushy Brow’s Jealousy: Lions Barrage Unleashed!,MIXED,2003-07-02,7.8
1,40,Kakashi and Orochimaru: Face-to-Face!,MIXED,2003-07-09,8.3
1,41,Kunoichi Rumble: The Rivals Get Serious!,MIXED,2003-07-16,7.8
1,42,The Ultimate Battle: Cha!,CANON,2003-07-23,7.9
1,43,Killer Kunoichi and a Shaky Shikamaru,MIXED,2003-07-30,7.5
1,44,Akamaru Unleashed! Who’s Top Dog Now?,MIXED,2003-08-06,8.7
1,45,Surprise Attack! Naruto’s Secret Weapon!,MIXED,2003-08-13,7.4
1,46,Byakugan Battle: Hinata Grows Bold!,MIXED,2003-08-20,7.2
1,47,A Failure Stands Tall!,MIXED,2003-08-27,7.3
1,48,Gaara vs. Rock Lee: The Power of Youth Explodes!,CANON,2003-09-03,7.6
1,49,Lee’s Hidden Strength: Forbidden Secret Jutsu!,MIXED,2003-09-10,8.6
1,50,The Fifth Gate: A Splendid Ninja is Born,CANON,2003-09-17,8.5
2,51,A Shadow in Darkness: Danger Approaches Sasuke,CANON,2003-09-24,7.4
2,52,Ebisu Returns: Naruto’s Toughest Training Yet!,MIXED,2003-10-01,8.7
2,53,Long Time No See: Jiraiya Returns!,MIXED,2003-10-08,8.8
2,54,The Summoning Jutsu: Wisdom of the Toad Sage!,MIXED,2003-10-15,7.5
2,55,"A Feeling of Yearning A Flower Full of Hope",MIXED,2003-10-22,8.6
2,56,Live or Die: Risk it All to Win it All!,MIXED,2003-10-29,7.1
2,57,He Flies! He Jumps! He Lurks! Chief Toad Appears!,MIXED,2003-11-05,8.8
2,58,Hospital Besieged: The Evil Hand Revealed!,MIXED,2003-11-12,8.7
2,59,The Final Rounds: Rush to the Battle Arena!,MIXED,2003-11-19,8.2
2,60,Byakugan vs. Shadow Clone,MIXED,2003-11-26,8.3
2,61,Ultimate Defense: Zero Blind Spot!,CANON,2003-12-03,8.0
2,62,A Failure’s True Power,CANON,2003-12-10,7.7
2,63,Hit it or Quit it: The Final Rounds Get,MIXED,2003-12-17,7.7
